,name,x,y
0,garlic,-30.057476,16.322317
1,pepper,-30.091671,16.851906
2,butter,48.461143,-41.02235
3,onion,-40.347412,12.658429
4,egg,49.27624,-24.598276
5,wheat,33.352863,-48.71434
6,salt,-15.885205,20.056845
7,milk,45.695827,-35.07089
8,chicken,-30.09679,17.217361
9,cream,20.930996,-49.163227
10,cheese,-39.9851,-29.545485
11,olive,-20.646,-25.576124
12,tomato,-39.37689,5.8570976
13,vanilla,59.730682,-30.203264
14,vegetable_oil,65.12699,19.21792
15,cayenne,-36.97698,11.543705
16,corn,-20.296867,42.836376
17,olive_oil,65.110535,20.893124
18,black_pepper,66.028465,23.070765
19,vinegar,-45.54299,26.085869
20,rice,9.848407,38.217457
21,ginger,19.670782,37.105515
22,lemon,-6.418256,1.4361383
23,parsley,-15.662972,-34.777603
24,cinnamon,20.731966,-0.7039564
25,cilantro,-51.008877,27.433847
26,soy_sauce,-1.220565,51.69362
27,onions,-40.318905,12.633355
28,beef,-27.02842,33.564003
29,cumin,-69.67828,6.2562833
30,cane_molasses,65.75087,18.478434
31,water,31.423851,34.36087
32,vegetable,-16.396666,32.868343
33,basil,-33.7528,-42.360046
34,bread,-18.255262,-32.20941
35,sugar,58.603664,-37.860695
36,lime,-50.00277,28.161848
37,oregano,-41.860214,-20.410757
38,mustard,13.192616,4.668826
39,bell_pepper,67.04664,22.227804
40,celery,-30.21295,4.6758566
41,thyme,-8.310641,-25.996428
42,cocoa,60.62126,-27.699556
43,lemon_juice,65.84283,16.940157
44,wine,9.517931,-28.619102
45,all_purpose_flour,34.195057,-47.727097
46,pork,-17.979052,40.00875
47,scallion,63.36962,19.975573
48,yeast,40.76209,-26.595604
49,potato,9.542216,-5.5651927
50,coconut,14.764885,38.04158
51,shrimp,-12.431238,-1.6457567
52,honey,33.28497,-7.6224527
53,fish,13.011598,45.68638
54,coriander,10.791206,11.994014
55,sesame_oil,-1.907763,51.297302
56,carrot,66.02699,24.959255
57,nutmeg,20.237553,-42.348183
58,bay,-6.776591,-9.944065
59,mushroom,74.35606,24.248808
60,orange,36.491318,-7.3793664
61,chicken_broth,66.70039,21.165508
62,eggs,53.199165,-43.912502
63,bacon,-27.56673,-50.925076
64,lard,70.50669,7.89594
65,macaroni,75.78232,20.988392
66,parmesan_cheese,73.431015,23.598976
67,kosher_salt,-16.448046,20.74728
68,green_onions,-34.980885,40.21157
69,tomatoes,-42.765816,5.8949184
70,cheddar_cheese,71.463585,21.431204
71,large_eggs,53.281116,-43.74999
72,cucumber,-29.163921,47.809456
73,apple,59.96234,-2.429682
74,cream_cheese,73.1612,17.746204
75,carrots,-7.90952,12.891038
76,walnut,70.02438,3.872221
77,rosemary,-10.649905,-30.548145
78,starch,64.24166,13.507959
79,buttermilk,37.853638,-35.131184
80,almond,68.73279,0.07858515
81,green_bell_pepper,69.10792,22.962267
